CBSACode,MedianEarnings,MedianIncomeHouseholds
10180,27376,46473
10420,32975,51749
10500,29024,38674
10540,30804,46782
10580,39875,63758
10740,31641,49711
10780,30582,41836
10900,36312,60441
11020,30285,44033
11100,31553,51672
11180,26496,51201
11260,42511,79225
11460,35989,62484
11500,28183,41954
11540,36526,61840
11700,29946,46443
12020,26147,40955
12060,36256,59183
12100,32046,55456
12220,30473,45056
12260,31139,47178
12420,37589,66093
12540,29655,49788
12580,44744,72801
12620,30313,45302
12700,37884,65382
12940,35264,53004
12980,30575,44681
13020,30199,45851
13140,32894,47170
13220,30217,39900
13380,30541,54207
13460,31732,54211
13740,32286,54867
13780,31431,49707
13820,34892,50529
13900,39992,64918
13980,29007,47456
14010,34889,62317
14020,26798,43828
14100,31824,48755
14260,31065,52377
14460,45053,77809
14500,37426,72282
14540,28147,45356
14740,37698,65017
14860,45957,86670
15180,22721,34578
15260,29772,45063
15380,35503,52303
15500,29887,43209
15540,36546,64127
15680,49299,86810
15940,31182,48705
15980,28935,50390
16020,29761,45728
16060,27861,40630
16180,31372,47948
16220,35408,56983
16300,37072,60537
16540,34970,55751
16580,30777,50268
16620,32672,45176
16700,34329,55125
16740,35162,55191
16820,36945,61664
16860,31484,47751
16940,36188,61201
16980,38561,63327
17020,27086,44366
17140,36264,56861
17300,30003,47816
17420,29632,43293
17460,35271,51001
17660,29912,50924
17780,26771,42948
17820,34594,60335
17860,30484,50813
17900,31885,51287
17980,28705,43307
18020,34104,55874
18140,36243,57440
18580,30824,51675
18700,27843,52015
18880,30842,55199
19060,28500,40302
19100,36548,61330
19140,27273,40812
19180,31811,43552
19300,31540,51365
19340,33649,53535
19380,32285,49223
19460,30986,45804
19500,32247,47477
19660,27877,43432
19740,40402,68173
19780,39102,63534
19820,35901,54037
20020,29017,40871
20100,34019,55184
20220,31880,56154
20260,31303,50078
20500,35262,54842
20700,32390,58980
20740,30486,51376
20940,26488,42560
21060,30813,50087
21140,30817,49692
21300,33405,49578
21340,25065,42023
21420,30261,49675
21500,30628,47094
21660,27486,45222
21780,31522,47838
21820,41171,73831
22020,33945,55941
22140,31032,48624
22180,28078,44532
22220,31517,50651
22380,27670,51106
22420,29996,43246
22500,30071,40452
22520,30182,43696
22540,34422,56376
22660,32609,61942
22900,27465,39543
23060,32020,50369
23420,27205,45963
23460,27740,40478
23540,29230,44337
23580,29481,51902
23900,33255,61927
24020,31882,54214
24140,27422,40457
24220,31225,51329
24260,30585,52068
24300,31306,50070
24340,31544,55675
24420,25945,37867
24500,28634,45469
24540,35576,62820
24580,34352,54361
24660,30967,45107
24780,29918,42308
24860,31416,47263
25060,30677,45423
25180,35881,56676
25220,30910,43690
25260,29070,47241
25420,36468,58774
25500,27472,49385
25540,43836,71379
25620,27100,43572
25860,28485,41526
25940,29191,55556
25980,30449,44316
26140,26785,39054
26300,26367,40011
26380,33399,50298
26420,36602,60902
26580,31248,43299
26620,35935,58084
26820,29957,52939
26900,35519,54261
26980,33057,56819
27060,31684,54133
27100,32310,47709
27140,31781,46972
27180,30464,43155
27260,33075,53661
27340,26048,46786
27500,31679,50968
27620,32365,52662
27740,27235,40311
27780,30827,42917
27860,27879,41883
27900,27971,43286
27980,34086,68771
28020,30244,49058
28100,33163,54697
28140,36942,59344
28420,34259,60263
28660,30098,51169
28700,29064,40432
28740,35846,60393
28940,31185,47357
29020,31627,45928
29100,30978,52004
29180,31810,48549
29200,27996,48143
29340,31471,47039
29420,26247,39856
29460,29464,44146
29540,33471,59237
29620,31186,51562
29700,24132,38711
29740,21852,38636
29820,32089,52629
29940,29504,52698
30020,29415,47319
30140,33454,56191
30300,30865,48020
30340,31987,48728
30460,31615,51933
30620,28323,45575
30700,31469,54168
30780,32447,50252
30860,24408,51777
30980,30586,47301
31020,32316,49127
31080,32502,62216
31140,33759,52437
31180,27744,46632
31340,30230,48269
31420,30785,40375
31460,25180,45742
31540,36696,63642
31700,41190,73189
31740,27601,50108
31860,30377,55097
31900,28907,42849
32580,22083,36094
32780,27571,46343
32820,32177,48545
32900,26753,44397
33100,30575,50064
33140,31526,48165
33220,33719,54852
33260,41674,71181
33340,36679,55625
33460,41170,70915
33540,26469,46371
33660,30784,44263
33700,31464,51591
33740,30321,38656
33780,35719,56968
33860,31596,47614
34060,30750,46484
34100,27724,41432
34580,33079,56433
34620,25084,39537
34740,29422,43920
34820,26368,45940
34900,36819,74609
34940,28960,59783
34980,34751,56152
35100,29334,46584
35300,41233,62715
35380,33618,48319
35620,41737,69211
35660,30653,45980
35840,30759,52235
35980,40018,67574
36100,26617,40295
36140,35529,59338
36220,35458,58335
36260,33275,65687
36420,32163,52825
36500,39709,62854
36540,36004,59803
36740,30432,50183
36780,33066,53501
36980,31909,46749
37100,35998,78593
37340,31134,49914
37460,28594,47958
37620,30468,43532
37860,30483,50563
37900,35286,56111
37980,40895,63952
38060,34489,55227
38220,29730,36656
38300,36592,54020
38340,32888,52253
38540,26352,45216
38860,35379,60486
38900,36928,62772
38940,29629,47231
39140,26906,46638
39300,37028,58699
39340,26675,63994
39380,30354,42000
39460,27141,44865
39540,36084,56359
39580,38791,65834
39660,30307,51486
39740,35340,57068
39820,30687,45582
39900,32153,55103
40060,37115,61124
40140,31265,56295
40220,32488,50517
40340,39856,66248
40380,34543,53480
40420,32380,50867
40580,27270,39388
40660,28062,42955
40900,37035,61686
40980,27612,43712
41060,31334,55995
41100,26795,52865
41140,30365,47622
41180,36174,56726
41420,29257,51488
41500,28299,60889
41540,31943,53600
41620,32951,64564
41660,29739,47907
41700,31309,54638
41740,36421,66529
41860,48909,85947
41940,51295,100469
42020,33309,64014
42100,32377,70088
42140,32982,55370
42200,30535,65161
42220,36470,66833
42340,31518,52115
42540,31817,46926
42660,43891,73044
42680,27062,47446
42700,23419,35865
43100,33991,54392
43300,31377,50212
43340,31109,42859
43420,28863,45383
43580,31005,52402
43620,34660,59621
43780,30598,46489
43900,30339,44017
44060,32020,49929
44100,36279,56947
44140,35227,53609
44180,28940,43973
44220,30096,44154
44300,31217,54407
44420,31842,51678
44700,31860,55045
44940,26630,40777
45060,35781,54581
45220,30591,47011
45300,32362,48521
45460,28043,42883
45500,30115,41210
45540,25176,52594
45780,31366,46654
45820,34071,52861
45940,42051,73966
46060,29500,46764
46140,33115,50950
46220,30014,45348
46340,30487,48683
46520,37513,77161
46540,31947,49580
46660,25392,37793
46700,38391,69227
47020,31740,54671
47220,30998,49537
47260,34816,60059
47300,25654,42789
47380,27481,43778
47460,28933,48015
47580,32348,52400
47900,50848,93804
47940,31410,52469
48060,30311,49911
48140,33054,54227
48260,30156,42319
48300,30391,52475
48540,29678,43736
48620,32910,52068
48660,29738,46043
48700,31596,48731
48900,31269,50445
49020,34207,56053
49180,31652,45296
49340,40668,65973
49420,27043,45700
49620,36165,59853
49660,30038,43455
49700,30732,51008
49740,25975,41467
